year,odometer,price
7,103,19988
10,92,14500
11,73,32995
10,74,32995
9,50,38995
7,128,14950
11,97,11900
7,110,18990
7,103,19988
11,97,11900
7,110,18990
5,52,28168
9,48,22495
4,35,29258
11,170,7900
7,92,20399
11,163,9999
7,103,19988
10,106,11477
11,97,11900
8,150,12234
11,138,9500
7,107,19850
7,103,19988
9,67,18998
7,128,14950
10,102,16491
